"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor4/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor5/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor6/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor7/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor8/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor9/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 20:52:14,,,,,630,,,,,,
2026-08-11 20:52:14,564,,,,,,,,,,
2026-08-11 20:52:15,,,271,,,,,,,,271
2026-08-11 20:52:15,,522,,,,,,,,522,
2026-08-11 20:52:15,,,,568,630,,,,,,
2026-08-11 20:52:15,555,,,,,,,,,,
2026-08-11 20:52:16,,,301,,,,,,,,301
2026-08-11 20:52:16,,,,681,,,,,,,
2026-08-11 20:52:16,,914,,,,,,,,914,
2026-08-11 20:52:17,671,,244,,,,,,,,244
2026-08-11 20:52:17,,543,,,1286,,,,,543,
2026-08-11 20:52:17,,,,567,,,,,,,
2026-08-11 20:52:18,640,,255,,,,,,,,255
2026-08-11 20:52:18,,523,,,,,,,,523,
2026-08-11 20:52:18,,,,622,1490,,,,,,
2026-08-11 20:52:19,590,,237,,,,,,,,237
2026-08-11 20:52:19,,,,,1325,,,,,,
2026-08-11 20:52:19,,567,,573,,,,,,567,
2026-08-11 20:52:20,,,249,,,,,,,,249
2026-08-11 20:52:20,626,,,,,,,,,,
2026-08-11 20:52:20,,622,,,1397,,,,,622,
2026-08-11 20:52:20,,,,639,,,,,,,
2026-08-11 20:52:21,411,,280,,,,,,,,280
2026-08-11 20:52:21,,646,,,1404,,,,,646,
2026-08-11 20:52:21,,,,645,,,,,,,
2026-08-11 20:52:22,407,,317,,,,,,,,317
2026-08-11 20:52:22,,562,,,1317,,,,,562,
2026-08-11 20:52:22,,,,558,,,,,,,
2026-08-11 20:52:23,429,,,,,,,,,,
2026-08-11 20:52:23,,,540,,,,,,,,540
2026-08-11 20:52:23,,,,,1288,,,,,,
2026-08-11 20:52:23,,588,,,,,,,,588,
2026-08-11 20:52:24,,,,662,,,,,,,
2026-08-11 20:52:24,,,285,,,,,,,,285
2026-08-11 20:52:24,635,,,,,,,,,,
2026-08-11 20:52:24,,,,,1202,,,,,,
2026-08-11 20:52:24,,604,,,,,,,,604,
2026-08-11 20:52:25,,,,612,,,,,,,
2026-08-11 20:52:25,,,301,,980,,,,,,301
2026-08-11 20:52:25,745,,,,,,,,,,
2026-08-11 20:52:25,,531,,,,,,,,531,
2026-08-11 20:52:26,,,,568,,,,,,,
2026-08-11 20:52:26,,,442,,744,,,,,,442
2026-08-11 20:52:26,697,,,,,,,,,,
2026-08-11 20:52:26,,532,,,,,,,,532,
2026-08-11 20:52:27,,,,,590,,,,,,
2026-08-11 20:52:27,,,,732,,,,,,,
2026-08-11 20:52:27,,,478,,,1432,,,,,478
2026-08-11 20:52:27,789,,,,,659,,,,,
2026-08-11 20:52:27,,589,,,576,,,,,589,
2026-08-11 20:52:28,,,,629,,,,,,,
2026-08-11 20:52:28,449,,313,,,,,,,,313
2026-08-11 20:52:28,,,,,,336,,,,,
2026-08-11 20:52:28,,531,,,,,,,,531,
2026-08-11 20:52:29,,,,611,578,,,,,,
2026-08-11 20:52:29,,,332,,,247,,,,,332
2026-08-11 20:52:29,561,,,,,,,,,,
2026-08-11 20:52:29,,539,,399,,,,,,539,
2026-08-11 20:52:30,,,253,,599,,,,,,253
2026-08-11 20:52:30,,,,,,252,,,,,
2026-08-11 20:52:30,518,,,,,,,,,,
2026-08-11 20:52:30,,534,,,483,,,,,534,
2026-08-11 20:52:31,,,263,483,,,,,,,263
2026-08-11 20:52:31,,,,,,235,,,,,
2026-08-11 20:52:31,555,,,,,,,,,,
2026-08-11 20:52:31,,534,,,478,,,,,534,
