"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 07:29:34,,510,307
2026-08-11 07:29:35,656,,
2026-08-11 07:29:35,526,,
2026-08-11 07:29:36,,618,647
2026-08-11 07:29:36,,,338
2026-08-11 07:29:37,575,,
2026-08-11 07:29:37,,761,
2026-08-11 07:29:37,,,338
2026-08-11 07:29:38,553,,
2026-08-11 07:29:38,,728,
2026-08-11 07:29:38,,,225
2026-08-11 07:29:39,,586,
2026-08-11 07:29:39,667,,
2026-08-11 07:29:39,,,223
2026-08-11 07:29:40,423,,
2026-08-11 07:29:40,,703,
2026-08-11 07:29:40,,,223
2026-08-11 07:29:41,576,588,
2026-08-11 07:29:41,,,221
2026-08-11 07:29:42,428,676,
2026-08-11 07:29:42,,,243
2026-08-11 07:29:43,,700,
2026-08-11 07:29:43,657,,
2026-08-11 07:29:43,,,224
2026-08-11 07:29:44,431,,
2026-08-11 07:29:44,,690,
2026-08-11 07:29:44,,,225
2026-08-11 07:29:45,,613,
2026-08-11 07:29:45,591,,
2026-08-11 07:29:45,,,228
2026-08-11 07:29:46,519,747,
2026-08-11 07:29:46,,,250
2026-08-11 07:29:47,442,659,
2026-08-11 07:29:47,,,226
2026-08-11 07:29:48,535,,
2026-08-11 07:29:48,,741,
2026-08-11 07:29:48,,,223
2026-08-11 07:29:49,577,775,
2026-08-11 07:29:49,,,246
2026-08-11 07:29:50,524,,
2026-08-11 07:29:50,,746,
2026-08-11 07:29:51,,,322
2026-08-11 07:29:51,566,,
2026-08-11 07:29:51,,695,
2026-08-11 07:29:52,,,429
2026-08-11 07:29:52,527,,
2026-08-11 07:29:53,,684,
2026-08-11 07:29:53,,,474
2026-08-11 07:29:53,543,,
2026-08-11 07:29:54,,681,
2026-08-11 07:29:54,,,487
2026-08-11 07:29:54,520,,
2026-08-11 07:29:54,,,235
2026-08-11 07:29:55,,694,
2026-08-11 07:29:55,549,,297
2026-08-11 07:29:56,,709,
2026-08-11 07:29:56,515,,301
2026-08-11 07:29:57,,676,
2026-08-11 07:29:57,444,,268
2026-08-11 07:29:58,,600,
2026-08-11 07:29:58,521,,
2026-08-11 07:29:59,,679,382
2026-08-11 07:30:00,,613,366
2026-08-11 07:30:00,807,,
